twitter_user_id,friend_degree_avg,friend_degree_max,friend_degree_min,friend_degree_var,follower_degree_avg,follower_degree_max,follower_degree_min,follower_degree_var
22499765,1862.649895,3108491,1,551012628.8,3648.672658,4950952,0,3195892184
2819139989,3792.024436,1450651,1,1930553411,6690.994737,2325951,0,6389533491
34750002,5700.90927,1284285,1,3542623682,9298.16568,2037107,1,8698305318
3016122241,8409.244604,1284285,6,5033474819,10890.27878,2037107,0,9921770474
133844829,2176.437132,698216,4,481167609.1,2836.451866,681354,0,541586125.2
28087982,2203.893233,3108486,1,1018187642,4650.727757,4951322,0,5685820082
809218730,10591.37201,1284284,6,8940399655,14523.94198,2037103,2,17831401212
3124313338,419.2,1871,10,281721.96,232,1268,1,132774.4
22474050,3407.595338,1284284,3,1731282943,7150.9474,2037103,0,4948887652
1147303028,6666.054878,1284270,9,3901076350,10347.51016,2037100,0,9827996269
195140602,9837.942029,1284270,2,5566660807,15270.87536,2037099,1,13431473758
2267546641,4761.732679,1284270,3,1505639521,6723.95612,2037099,0,3262925776
164226176,1362.915726,3108417,0,291957184.1,2599.90295,9473843,0,4376851377
2673148399,4267.860927,159856,8,300493247.1,5410.94702,240514,1,580522916.9
4061462194,3545.256461,470134,12,537546498.3,4198.944334,614496,0,874370344.9
2808847414,3780.16129,866396,3,910928340.8,7223.551971,2326219,0,4494152959
77472635,5836.408629,1285479,7,4326247399,9586.926396,2037294,0,11019606723
913196785,4087.435565,1285472,1,1631505910,7283.468683,2037292,0,4465708543
26283813,4943.591696,1285479,1,2213723713,7018.623991,2037299,0,5272960650
283682540,8213.37139,1285479,3,2098234556,13254.71323,2037299,0,6315791160
3076039949,2625.102615,360918,0,173322480.8,5516.602781,1470728,0,1573354401
453349711,5924.086795,1285473,1,2157334010,9752.683976,2037305,0,6587032427
378200785,8913.346881,1450949,5,5688152480,13081.13705,1997853,0,10645308778
1179455215,1991.519268,3108416,1,988286515.5,4118.192308,4953096,0,4907498440
27607283,4994.876847,1285461,3,2497084498,8641.587438,2037310,0,6398884014
21527566,7850.666667,367585,1,1746608793,16998.23242,2832520,0,25951550651
432396682,2897.704765,1224386,1,548356996.2,6268.834335,5679525,0,6308222052
28306725,4953.996779,1285461,1,2543765578,8452.835749,2037298,0,8105698569
68659708,2542.294675,1224381,1,389663589.4,5619.525303,4953314,0,4540625547
