,name,gender,birth_date,party_name,post_label,elected,twitter_username,twitter_user_id,tweets_count,followers,friends,retweet,favrotes,mentioned,quoted,reweet,mentioned%,quoted%,reweet%,topic_count,topic_ratio,former_MP
0,Helen Ceri Clarke,female,0,Liberal Democrats,Aberavon,False,Helenceri,18979772,22,147,295,44,6,8,22,18,0.36363636363636365,1.0,0.8181818181818182,1,0.0038461538461538464,no
1,Edward Yi He,male,0,Conservative and Unionist Party,Aberavon,False,Edward4East,2935084827,633,775,828,12722,339,94,633,341,0.1484992101105845,1.0,0.5387045813586098,186,0.022331612438468002,no
2,Victor Babu,male,0,Liberal Democrats,Aberconwy,False,Bathula_Victor,2347509589,2,60,25,2,5,2,2,2,1.0,1.0,1.0,1,0.25,no
3,Euan Davidson,male,21,Liberal Democrats,Aberdeen North,False,euandavidson,138167286,1,1452,3249,95905,0,0,1,0,0.0,1.0,0.0,0,0.0,no
4,Anne Begg,female,60,Labour Party,Aberdeen South,False,annebegg,105880024,1139,9593,654,53293,1591,294,1139,484,0.2581211589113257,1.0,0.42493415276558383,475,0.032146724417975094,yes
5,Denis Rixson,male,0,Liberal Democrats,Aberdeen South,False,RDJRixson,3068561164,86,34,37,102,10,56,86,66,0.6511627906976745,1.0,0.7674418604651163,20,0.022296544035674472,no
6,Alan Hilliar,male,0,Liberal Democrats,Aldershot,False,alanhilliar,52522161,9,127,136,0,2,7,9,9,0.7777777777777778,1.0,1.0,2,0.014705882352941176,no
7,Gerald Howarth,male,68,Conservative and Unionist Party,Aldershot,True,geraldhowarth,108935576,365,8064,161,5232,382,149,365,232,0.40821917808219177,1.0,0.6356164383561644,160,0.03248730964467005,yes
8,John Fisher,male,0,Labour Party,Aldridge-Brownhills,False,JohnFisher_1,870198840,286,611,766,6589,69,67,286,130,0.23426573426573427,1.0,0.45454545454545453,122,0.03250732747135625,no
9,Ian Garrett,male,50,Liberal Democrats,Aldridge-Brownhills,False,ablibdems,125151345,319,38,2,4530,11,220,317,307,0.6896551724137931,0.9937304075235109,0.9623824451410659,153,0.03648068669527897,no
