,twitter_username,tweets_count,postive,negative,sum_sentiment,postive_r,negative_r
912,TWDDolphin,262,59,203,-140.39999999999998,0.22519083969465647,0.7748091603053435
913,NickyjWilliams,1778,493,1285,-718.6000000000015,0.27727784026996627,0.7227221597300337
914,sarahwollaston,197,69,128,-60.20000000000001,0.350253807106599,0.649746192893401
915,Stefan4TottMP,374,100,274,-165.6,0.26737967914438504,0.732620320855615
916,tozen,2481,781,1700,-853.6000000000017,0.3147924224103184,0.6852075775896815
917,SNewtonUK,1567,595,972,-343.4000000000006,0.37970644543714105,0.620293554562859
918,TruroSimonRix,527,175,352,-154.99999999999983,0.33206831119544594,0.6679316888045541
919,GregClarkMP,410,183,227,-37.39999999999995,0.44634146341463415,0.5536585365853659
920,Kevin_Kerrigan1,280,78,202,-109.99999999999991,0.2785714285714286,0.7214285714285714
921,JamesMacCleary,848,302,546,-217.19999999999985,0.3561320754716981,0.6438679245283019
922,vincecable,949,302,647,-320.40000000000055,0.31822971548998946,0.6817702845100105
923,tania_mathias,259,120,139,-13.999999999999995,0.46332046332046334,0.5366795366795367
924,alancampbellmp,911,396,515,-100.59999999999991,0.43468715697036225,0.5653128430296378
925,JohnPD45,44,12,32,-18.6,0.2727272727272727,0.7272727272727273
926,mikefcox,541,169,372,-183.99999999999994,0.3123844731977819,0.6876155268022182
927,BorisJohnson,138,46,92,-40.20000000000001,0.3333333333333333,0.6666666666666666
928,chris4uxbridge,1925,609,1316,-633.4000000000023,0.31636363636363635,0.6836363636363636
929,JamesDavies,392,131,261,-118.59999999999994,0.33418367346938777,0.6658163265306123
930,ChrisRuane2017,552,166,386,-205.39999999999992,0.3007246376811594,0.6992753623188406
931,wgwynwilliams,19,4,15,-11.6,0.21052631578947367,0.7894736842105263
932,AlunCairns,1118,393,725,-291.2000000000006,0.35152057245080504,0.648479427549195
933,DavyPaul,1437,466,971,-472.0000000000006,0.3242867084203201,0.6757132915796799
934,KateHoeyMP,1030,463,567,-91.6,0.4495145631067961,0.5504854368932038
935,antony_calvert,507,189,318,-114.99999999999993,0.3727810650887574,0.6272189349112426
936,Kristoforbrown,1311,386,925,-490.20000000000107,0.2944317315026697,0.7055682684973302
937,DHansenLuke,2037,782,1255,-405.0000000000006,0.38389788905252825,0.6161021109474718
938,WalsallNorthLD,3,2,1,1.0,0.6666666666666666,0.3333333333333333
939,haselour,456,137,319,-165.4,0.30043859649122806,0.6995614035087719
940,joelkenrick,455,177,278,-88.19999999999997,0.389010989010989,0.610989010989011
941,Valerie_VazMP,504,178,326,-136.9999999999999,0.3531746031746032,0.6468253968253969
942,Molly4Wstow,281,88,193,-93.99999999999991,0.31316725978647686,0.6868327402135231
943,TD_Hancock,1422,309,1113,-746.8000000000008,0.21729957805907174,0.7827004219409283
944,IanLaveryMP,1331,593,738,-128.99999999999983,0.44552967693463563,0.5544703230653644
945,alexmeredithLD,547,158,389,-216.59999999999994,0.28884826325411334,0.7111517367458866
946,StephenEDWebb,199,56,143,-81.39999999999998,0.2814070351758794,0.7185929648241206
947,HelenJonesMP,636,268,368,-90.60000000000007,0.42138364779874216,0.5786163522012578
948,canazirk,396,96,300,-193.99999999999997,0.24242424242424243,0.7575757575757576
949,This_Is_Seeb,91,34,57,-19.799999999999994,0.37362637362637363,0.6263736263736264
950,lynnettekelly,1316,472,844,-348.4000000000007,0.3586626139817629,0.6413373860182371
951,Chris_WhiteUK,2087,893,1194,-252.19999999999973,0.42788691902252035,0.5721130809774796
952,BobDhillon5,1297,402,895,-455.2000000000006,0.3099460292983809,0.6900539707016191
953,libdom,1037,227,810,-555.2000000000005,0.218900675024108,0.781099324975892
954,Richard4Watford,547,182,365,-174.80000000000007,0.3327239488117002,0.6672760511882998
955,MayorDorothy,1487,562,925,-320.6000000000002,0.37794216543375925,0.6220578345662408
956,Turmaine,1469,432,1037,-560.8000000000014,0.29407760381211706,0.7059223961878829
957,peter_aldous,292,110,182,-65.79999999999997,0.3767123287671233,0.6232876712328768
958,BobJBlizzard,1401,402,999,-532.6000000000023,0.28693790149892934,0.7130620985010707
959,JuliaTickridge,1110,422,688,-233.99999999999986,0.3801801801801802,0.6198198198198198
960,PeterBoneUK,980,408,572,-147.8000000000001,0.4163265306122449,0.5836734693877551
961,votegarvie,2,1,1,-0.4,0.5,0.5
962,chris_nelson,160,52,108,-48.000000000000014,0.325,0.675
963,JSHeappey,375,153,222,-61.00000000000002,0.408,0.592
964,chrisinchley,404,133,271,-124.19999999999993,0.3292079207920792,0.6707920792079208
965,tessamunt,1847,581,1266,-623.4000000000012,0.31456415809420685,0.6854358419057932
966,Hugh_Annand,1006,269,737,-436.00000000000074,0.2673956262425447,0.7326043737574552
967,WHLabour,803,268,535,-240.39999999999992,0.33374844333748444,0.6662515566625156
968,grantshapps,2417,784,1633,-778.000000000002,0.3243690525444766,0.6756309474555233
969,JohnHealey_MP,926,349,577,-203.99999999999991,0.37688984881209503,0.6231101511879049
970,BarryBlackNE,1389,452,937,-439.800000000001,0.3254139668826494,0.6745860331173507
971,WAKLibDems,349,164,185,-20.199999999999985,0.4699140401146132,0.5300859598853869
972,oseccombe,42,17,25,-9.0,0.40476190476190477,0.5952380952380952
973,paulratner,42,11,31,-18.4,0.2619047619047619,0.7380952380952381
974,oletwinofficial,211,69,142,-71.60000000000001,0.32701421800947866,0.6729857819905213
975,fest4westham,1236,379,857,-449.8000000000006,0.30663430420711973,0.6933656957928802
976,rosie4westlancs,862,323,539,-213.39999999999998,0.37470997679814383,0.6252900232018561
977,paulvgreenall,652,199,453,-229.99999999999977,0.3052147239263804,0.6947852760736196
